 #--- Initial_population -----------------------------
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
     33.87      2.86      0.22      1.01      0.20      1.28      1.11      0.56
     33.82      2.50      0.22      1.01      0.21      1.29      1.11      0.56
     33.81      2.79      0.22      1.02      0.20      1.28      1.12      0.56
     33.68      2.59      0.22      1.02      0.20      1.31      1.11      0.56
     33.60      2.52      0.22      1.04      0.19      1.33      1.12      0.56
     33.60      2.57      0.22      1.05      0.20      1.32      1.12      0.56
     34.06      2.84      0.22      1.02      0.21      1.30      1.10      0.56
     33.85      2.64      0.21      1.02      0.20      1.29      1.11      0.56
     33.77      2.50      0.22      1.04      0.20      1.33      1.11      0.56
     33.75      2.28      0.22      1.01      0.21      1.30      1.12      0.56
     33.85      2.62      0.22      1.02      0.21      1.30      1.11      0.56
     34.06      2.78      0.22      1.01      0.21      1.29      1.10      0.56
     33.78      2.74      0.22      1.02      0.20      1.30      1.11      0.56
     33.97      2.62      0.22      1.01      0.21      1.28      1.11      0.56
     33.85      2.64      0.22      1.03      0.19      1.29      1.11      0.56
     33.28      3.11      0.21      1.03      0.21      1.31      1.11      0.56
     33.82      3.01      0.21      1.02      0.20      1.29      1.11      0.56
     33.44      2.71      0.21      1.02      0.21      1.29      1.12      0.56
     33.64      2.69      0.22      1.02      0.20      1.29      1.11      0.56
     33.78      2.92      0.21      1.02      0.21      1.29      1.11      0.56
     33.77      2.55      0.22      1.03      0.20      1.32      1.12      0.56
     33.84      3.05      0.22      1.03      0.19      1.29      1.10      0.56
     33.69      2.89      0.22      1.02      0.20      1.29      1.10      0.56
     33.85      2.92      0.22      1.01      0.20      1.28      1.11      0.56
     33.81      2.72      0.22      1.02      0.21      1.30      1.11      0.56
     33.73      2.85      0.22      1.02      0.20      1.28      1.12      0.56
     33.93      2.60      0.22      1.03      0.21      1.29      1.13      0.56
     33.93      2.76      0.22      1.01      0.20      1.28      1.11      0.56
     33.30      2.40      0.22      1.02      0.21      1.30      1.12      0.56
     33.93      2.67      0.22      1.01      0.19      1.30      1.10      0.56
     33.90      2.60      0.22      1.02      0.20      1.32      1.11      0.56
     33.85      2.80      0.22      1.02      0.20      1.29      1.10      0.56
     33.93      2.44      0.22      1.01      0.20      1.31      1.11      0.56
     33.74      2.39      0.22      1.04      0.19      1.31      1.12      0.56
     33.65      2.63      0.22      1.01      0.21      1.28      1.12      0.56
     33.89      2.96      0.22      1.01      0.21      1.28      1.10      0.56
     33.59      2.29      0.22      1.02      0.21      1.29      1.11      0.56
     33.59      2.58      0.22      1.03      0.20      1.28      1.11      0.56
     33.87      2.60      0.22      1.01      0.21      1.29      1.12      0.56
     33.67      2.97      0.22      1.02      0.21      1.28      1.11      0.56
     33.59      2.51      0.22      1.02      0.20      1.28      1.11      0.56
     33.70      2.69      0.21      1.03      0.20      1.30      1.11      0.56
     34.10      2.64      0.22      1.00      0.22      1.27      1.11      0.56
     33.81      2.80      0.22      1.02      0.20      1.29      1.11      0.56
     33.64      2.61      0.22      1.01      0.21      1.30      1.11      0.56
     33.81      2.78      0.22      1.02      0.21      1.29      1.11      0.56
     33.90      2.59      0.22      1.02      0.19      1.30      1.11      0.56
     33.64      2.93      0.22      1.02      0.20      1.31      1.10      0.56
     33.57      2.64      0.23      1.03      0.20      1.27      1.11      0.56
     33.77      2.56      0.22      1.02      0.20      1.32      1.11      0.56
     33.89      2.58      0.21      1.02      0.21      1.31      1.11      0.56
     33.81      2.52      0.22      1.02      0.21      1.29      1.12      0.56
     33.60      2.84      0.22      1.02      0.22      1.29      1.12      0.56
     33.84      2.66      0.22      1.02      0.20      1.29      1.10      0.56
     33.96      2.48      0.22      1.02      0.21      1.31      1.11      0.56
     33.65      2.78      0.22      1.01      0.22      1.28      1.11      0.56
     33.56      2.99      0.22      1.02      0.21      1.32      1.11      0.56
     33.79      2.56      0.22      1.03      0.19      1.30      1.12      0.56
     33.73      2.67      0.22      1.02      0.20      1.30      1.12      0.56
     33.71      2.92      0.22      1.02      0.20      1.29      1.11      0.56
     33.73      2.53      0.22      1.03      0.20      1.29      1.12      0.56
     33.61      2.53      0.22      1.03      0.20      1.31      1.11      0.56
     33.64      2.92      0.21      1.01      0.22      1.28      1.12      0.56
     33.81      2.71      0.22      1.02      0.21      1.29      1.13      0.56
     33.41      2.65      0.22      1.04      0.20      1.30      1.12      0.56
     33.20      2.71      0.22      1.06      0.21      1.27      1.12      0.56
     33.75      2.14      0.22      1.03      0.20      1.32      1.11      0.56
     33.31      2.03      0.22      1.06      0.19      1.30      1.12      0.56
     33.85      2.74      0.22      1.02      0.21      1.30      1.12      0.56
     33.36      3.00      0.21      1.01      0.25      1.28      1.11      0.56
     33.32      2.53      0.22      1.05      0.20      1.31      1.11      0.56
     33.48      2.06      0.22      1.04      0.19      1.31      1.12      0.56
     33.89      2.72      0.22      1.02      0.20      1.30      1.11      0.56
     33.89      2.61      0.22      1.01      0.21      1.29      1.11      0.56
     33.61      2.68      0.23      1.02      0.20      1.23      1.12      0.56
     33.85      2.60      0.22      1.01      0.21      1.30      1.12      0.56
     33.72      2.49      0.22      1.04      0.20      1.30      1.12      0.56
     33.82      2.62      0.22      1.02      0.20      1.29      1.11      0.56
     33.72      2.75      0.21      1.02      0.21      1.30      1.12      0.56
     33.69      2.65      0.22      1.02      0.21      1.27      1.11      0.56
     33.72      2.43      0.22      1.01      0.21      1.25      1.11      0.56
     33.86      2.70      0.22      1.02      0.20      1.30      1.11      0.56
     34.09      2.51      0.22      1.02      0.21      1.27      1.11      0.56
     33.82      2.63      0.22      1.02      0.20      1.28      1.12      0.57
     33.80      2.76      0.22      1.02      0.20      1.31      1.11      0.56
     33.53      2.60      0.22      1.01      0.20      1.30      1.11      0.56
     33.80      2.85      0.21      1.01      0.21      1.28      1.11      0.56
     33.98      2.50      0.22      1.01      0.21      1.29      1.11      0.56
     33.49      2.81      0.22      1.02      0.20      1.28      1.12      0.56
     33.71      2.71      0.22      1.02      0.21      1.32      1.12      0.56
     33.76      2.72      0.22      1.02      0.20      1.29      1.12      0.56
     33.69      2.62      0.22      1.01      0.21      1.30      1.11      0.56
     33.84      2.75      0.22      1.02      0.20      1.30      1.11      0.56
     33.64      2.44      0.22      1.03      0.21      1.31      1.11      0.56
     33.65      2.59      0.21      1.02      0.21      1.30      1.11      0.56
     33.89      2.66      0.22      1.02      0.20      1.29      1.11      0.56
     33.76      2.74      0.22      1.02      0.21      1.29      1.11      0.56
     34.19      2.50      0.22      1.01      0.21      1.31      1.11      0.56
     33.78      2.93      0.22      1.03      0.21      1.28      1.10      0.56
     33.73      2.57      0.22      1.02      0.20      1.31      1.11      0.56
     33.64      2.76      0.22      1.02      0.20      1.29      1.11      0.56
     33.52      2.67      0.22      1.03      0.20      1.32      1.11      0.56
     33.35      2.38      0.22      1.01      0.21      1.30      1.11      0.56
     33.69      2.94      0.22      1.02      0.20      1.23      1.11      0.56
     33.54      2.76      0.22      1.02      0.21      1.30      1.11      0.56
     33.81      2.67      0.22      1.02      0.20      1.29      1.10      0.56
     33.84      2.84      0.22      1.02      0.20      1.29      1.12      0.56
     33.84      2.69      0.22      1.02      0.20      1.29      1.12      0.56
     33.86      2.73      0.22      1.02      0.20      1.28      1.11      0.56
     33.52      2.49      0.22      1.03      0.20      1.29      1.12      0.56
     33.66      2.60      0.22      1.02      0.20      1.30      1.12      0.56
     33.54      3.04      0.21      1.01      0.22      1.28      1.12      0.56
     33.97      3.20      0.22      1.00      0.22      1.27      1.11      0.56
     33.97      2.77      0.22      1.02      0.20      1.31      1.09      0.56
     33.65      2.59      0.21      1.04      0.21      1.29      1.12      0.56
     33.74      3.12      0.22      1.00      0.22      1.29      1.11      0.56
     33.87      2.64      0.22      1.01      0.20      1.29      1.12      0.56
     33.85      2.50      0.22      1.01      0.21      1.30      1.11      0.56
     33.79      2.34      0.22      1.01      0.21      1.31      1.12      0.56
     33.96      2.76      0.22      1.02      0.21      1.31      1.11      0.56
     33.72      2.28      0.22      1.02      0.22      1.29      1.11      0.56
     34.08      3.00      0.22      1.02      0.21      1.29      1.12      0.56
     33.83      2.57      0.22      1.01      0.21      1.29      1.12      0.56
     33.63      2.71      0.22      1.03      0.19      1.32      1.11      0.56
     33.87      3.05      0.21      1.02      0.20      1.27      1.12      0.56
     33.82      2.62      0.23      1.01      0.21      1.29      1.11      0.57
     33.55      2.78      0.22      1.02      0.21      1.33      1.11      0.56
     34.01      2.70      0.22      1.01      0.20      1.28      1.11      0.56
     33.60      2.95      0.22      1.02      0.21      1.30      1.11      0.56
     33.92      2.62      0.22      1.01      0.21      1.29      1.11      0.56
     33.83      2.77      0.21      1.03      0.20      1.28      1.12      0.56
     33.84      2.49      0.22      1.04      0.19      1.31      1.11      0.56
     33.66      2.63      0.22      1.02      0.20      1.32      1.12      0.56
     33.52      2.69      0.22      1.02      0.24      1.29      1.12      0.56
     33.70      2.69      0.22      1.02      0.21      1.32      1.12      0.56
     33.89      2.59      0.22      1.02      0.21      1.31      1.11      0.57
     33.74      2.62      0.22      1.01      0.21      1.28      1.11      0.56
     33.63      2.87      0.22      1.02      0.20      1.27      1.12      0.56
     33.94      2.61      0.22      1.01      0.21      1.27      1.12      0.56
     33.76      2.68      0.21      1.02      0.21      1.29      1.12      0.56
     33.92      2.87      0.22      1.01      0.22      1.31      1.12      0.56
     33.73      2.57      0.22      1.02      0.21      1.29      1.12      0.56
     33.82      2.62      0.22      1.01      0.21      1.27      1.11      0.56
     33.92      2.83      0.21      1.02      0.21      1.31      1.11      0.56
     33.81      2.82      0.22      1.02      0.20      1.29      1.11      0.56
     33.74      2.52      0.22      1.02      0.19      1.31      1.12      0.56
     33.96      2.59      0.22      1.01      0.21      1.27      1.11      0.56
     33.68      2.47      0.22      1.02      0.20      1.29      1.11      0.56
     34.07      2.82      0.22      1.02      0.20      1.28      1.11      0.56
     33.86      2.94      0.22      1.02      0.21      1.29      1.12      0.56
     33.91      2.56      0.22      1.02      0.21      1.31      1.11      0.56
     34.02      2.69      0.22      1.02      0.21      1.27      1.11      0.56
     33.81      2.80      0.22      1.02      0.21      1.28      1.12      0.56
     33.57      2.46      0.22      1.01      0.21      1.29      1.11      0.56
     33.84      2.73      0.22      1.01      0.21      1.28      1.12      0.56
     33.83      2.68      0.22      1.01      0.21      1.28      1.12      0.56
     33.94      3.07      0.21      1.02      0.20      1.26      1.12      0.56
     33.75      2.69      0.22      1.01      0.21      1.30      1.11      0.56
     33.76      2.97      0.22      1.02      0.20      1.27      1.12      0.56
     33.60      2.84      0.22      1.02      0.20      1.29      1.11      0.56
     33.92      2.74      0.22      1.01      0.20      1.28      1.10      0.56
     33.63      2.77      0.22      1.02      0.20      1.32      1.12      0.56
     33.83      2.91      0.22      1.02      0.21      1.31      1.12      0.57
     33.92      2.68      0.22      1.02      0.20      1.29      1.10      0.56
     33.89      2.33      0.22      1.02      0.20      1.29      1.12      0.56
     33.51      2.55      0.22      1.02      0.20      1.30      1.13      0.56
     33.56      2.69      0.21      1.02      0.21      1.31      1.11      0.56
     33.78      2.68      0.22      1.02      0.20      1.28      1.11      0.56
     33.21      2.57      0.22      1.05      0.21      1.31      1.11      0.56
     33.65      2.66      0.22      1.01      0.20      1.28      1.12      0.56
     33.60      2.32      0.22      1.01      0.21      1.30      1.11      0.56
     33.86      2.90      0.22      1.02      0.20      1.29      1.12      0.56
     33.80      2.60      0.22      1.02      0.20      1.31      1.10      0.56
     33.80      2.86      0.22      1.02      0.20      1.32      1.09      0.57
     33.75      2.55      0.22      1.01      0.21      1.28      1.11      0.56
     33.73      2.93      0.21      1.02      0.21      1.30      1.11      0.56
     33.61      2.46      0.22      1.01      0.22      1.30      1.12      0.56
     33.74      2.46      0.22      1.02      0.20      1.30      1.11      0.56
     33.57      2.44      0.22      1.02      0.20      1.31      1.11      0.56
     33.67      2.44      0.22      1.02      0.20      1.30      1.12      0.56
     33.08      2.35      0.22      1.05      0.20      1.32      1.12      0.56
     33.66      2.84      0.22      1.01      0.21      1.25      1.12      0.56
     33.76      2.66      0.22      1.02      0.21      1.30      1.14      0.56
     33.77      2.58      0.22      1.02      0.20      1.26      1.10      0.56
     33.46      3.45      0.22      1.02      0.21      1.29      1.11      0.56
     33.64      2.84      0.22      1.03      0.20      1.28      1.12      0.56
     33.75      2.71      0.22      1.03      0.20      1.33      1.12      0.56
     33.59      2.63      0.22      1.03      0.20      1.32      1.11      0.56
     33.66      2.51      0.22      1.02      0.20      1.29      1.11      0.56
     33.46      2.34      0.22      1.06      0.20      1.34      1.11      0.56
     33.97      2.55      0.22      1.02      0.21      1.32      1.11      0.56
     33.57      2.77      0.22      1.02      0.21      1.31      1.12      0.56
     33.78      2.78      0.22      1.02      0.20      1.31      1.12      0.56
     33.77      2.76      0.21      1.02      0.20      1.30      1.12      0.56
     33.37      2.53      0.22      1.05      0.20      1.32      1.12      0.56
     33.82      2.52      0.22      1.03      0.21      1.28      1.12      0.56
     33.96      2.52      0.21      1.02      0.21      1.31      1.11      0.56
     33.70      2.51      0.22      1.01      0.20      1.31      1.11      0.56
     34.07      2.68      0.22      1.01      0.20      1.28      1.10      0.56
     33.60      2.84      0.21      1.02      0.20      1.31      1.12      0.56
     33.99      2.77      0.22      1.01      0.21      1.28      1.11      0.56
     33.62      2.46      0.22      1.02      0.20      1.32      1.11      0.56
     34.10      2.40      0.22      1.01      0.21      1.28      1.10      0.56
     33.68      2.46      0.22      1.03      0.20      1.28      1.13      0.56
     33.98      2.84      0.22      1.00      0.22      1.26      1.11      0.56
     33.80      2.55      0.22      1.02      0.20      1.28      1.12      0.56
     33.92      2.75      0.22      1.01      0.21      1.30      1.11      0.56
     33.55      2.29      0.22      1.04      0.21      1.32      1.12      0.56
     33.68      2.50      0.22      1.04      0.20      1.31      1.12      0.56
     33.33      2.36      0.22      1.04      0.21      1.31      1.11      0.56
     33.81      2.77      0.22      1.02      0.21      1.32      1.09      0.57
     33.59      2.76      0.22      1.01      0.21      1.30      1.11      0.56
     33.74      2.72      0.22      1.02      0.21      1.30      1.11      0.56
     33.66      2.81      0.21      1.02      0.21      1.29      1.11      0.56
     33.66      2.68      0.22      1.01      0.21      1.28      1.12      0.56
     33.71      2.84      0.22      1.02      0.20      1.28      1.13      0.56
     33.82      2.53      0.22      1.02      0.19      1.28      1.11      0.56
     33.72      3.02      0.21      1.02      0.21      1.29      1.11      0.56
     33.70      2.72      0.22      1.02      0.20      1.31      1.11      0.56
     33.79      2.82      0.22      1.02      0.22      1.31      1.12      0.57
     33.87      2.48      0.22      1.02      0.21      1.28      1.10      0.56
     33.81      2.97      0.21      1.02      0.20      1.29      1.12      0.56
     33.91      2.68      0.22      1.02      0.21      1.31      1.11      0.56
     33.81      2.71      0.22      1.02      0.20      1.30      1.11      0.56
     33.43      2.44      0.22      1.06      0.19      1.33      1.12      0.56
     33.54      2.69      0.22      1.01      0.21      1.27      1.11      0.56
     33.81      2.63      0.22      1.01      0.21      1.27      1.11      0.56
     33.81      2.72      0.21      1.02      0.21      1.28      1.12      0.56
     33.66      2.59      0.22      1.04      0.20      1.31      1.12      0.56
     33.96      2.69      0.22      1.02      0.20      1.26      1.11      0.56
     33.77      2.82      0.22      1.01      0.21      1.28      1.11      0.56
     33.66      2.99      0.22      1.01      0.21      1.28      1.11      0.56
     33.90      2.85      0.22      1.01      0.22      1.31      1.12      0.56
     33.93      3.06      0.22      1.01      0.21      1.27      1.10      0.56
     33.84      2.81      0.23      1.02      0.21      1.29      1.11      0.56
     33.83      2.69      0.22      1.01      0.21      1.28      1.12      0.57
     33.87      2.73      0.22      1.02      0.20      1.30      1.10      0.56
     33.48      2.78      0.22      1.02      0.21      1.31      1.12      0.56
     33.89      2.84      0.22      1.02      0.21      1.31      1.12      0.56
     33.69      3.03      0.22      1.02      0.20      1.27      1.11      0.56
     33.70      2.73      0.22      1.02      0.20      1.28      1.11      0.56
     33.84      3.16      0.22      1.01      0.20      1.30      1.13      0.56
     33.75      2.89      0.22      1.01      0.21      1.29      1.11      0.56
     33.72      2.97      0.22      1.02      0.22      1.29      1.12      0.56
     33.73      2.70      0.22      1.02      0.21      1.27      1.10      0.56
     33.69      2.78      0.22      1.01      0.21      1.28      1.12      0.56
     33.84      2.67      0.22      1.02      0.20      1.30      1.11      0.56
     33.76      2.36      0.22      1.01      0.20      1.29      1.13      0.56
     33.85      2.72      0.22      1.02      0.21      1.27      1.11      0.56
     33.49      2.31      0.22      1.01      0.21      1.30      1.12      0.56
     33.59      2.49      0.22      1.02      0.20      1.33      1.11      0.56
     33.49      2.08      0.22      1.04      0.21      1.35      1.12      0.56
     33.83      2.67      0.22      1.02      0.20      1.27      1.11      0.56
     33.92      2.68      0.22      1.02      0.20      1.28      1.10      0.56
     33.76      2.84      0.22      1.03      0.20      1.30      1.11      0.56
     33.70      2.52      0.22      1.03      0.21      1.27      1.11      0.56
     33.79      2.64      0.22      1.02      0.21      1.28      1.12      0.56
     33.82      2.85      0.22      1.01      0.24      1.28      1.12      0.56
     33.51      3.03      0.22      1.02      0.22      1.26      1.11      0.56
     33.50      2.58      0.22      1.03      0.20      1.29      1.11      0.56
     33.71      2.45      0.22      1.03      0.19      1.33      1.12      0.56
     33.48      2.66      0.23      1.02      0.20      1.30      1.12      0.56
     33.64      2.36      0.22      1.02      0.21      1.29      1.10      0.56
     33.71      2.79      0.22      1.01      0.21      1.28      1.10      0.56
     34.02      3.01      0.22      1.01      0.21      1.25      1.12      0.56
     34.08      2.60      0.22      1.01      0.20      1.28      1.11      0.56
     33.47      2.39      0.22      1.01      0.21      1.29      1.11      0.56
     33.82      2.79      0.22      1.01      0.20      1.33      1.11      0.56
     33.49      1.98      0.22      1.05      0.19      1.34      1.12      0.56
     34.02      3.14      0.22      1.01      0.21      1.31      1.11      0.56
     33.62      2.90      0.22      1.02      0.22      1.29      1.11      0.56
     33.68      2.78      0.22      1.04      0.20      1.31      1.12      0.56
     33.77      2.92      0.21      1.02      0.21      1.30      1.12      0.56
     33.85      2.86      0.21      1.02      0.22      1.30      1.12      0.56
     33.80      2.48      0.22      1.02      0.21      1.30      1.11      0.56
     33.59      2.50      0.22      1.02      0.20      1.29      1.12      0.56
     33.72      2.63      0.22      1.01      0.21      1.31      1.11      0.57
     33.89      2.80      0.21      1.01      0.21      1.27      1.12      0.56
     33.93      2.68      0.22      1.02      0.20      1.29      1.11      0.56
     34.05      2.73      0.22      1.02      0.21      1.29      1.11      0.56
     33.88      2.81      0.22      1.01      0.21      1.29      1.11      0.56
     34.00      2.60      0.21      1.02      0.21      1.30      1.10      0.56
     33.73      2.72      0.22      1.01      0.21      1.30      1.11      0.56
     33.92      2.81      0.22      1.02      0.20      1.28      1.10      0.56
     33.58      2.46      0.22      1.03      0.21      1.33      1.12      0.56
     33.95      2.77      0.22      1.02      0.20      1.27      1.12      0.56
     33.71      2.26      0.22      1.03      0.20      1.31      1.12      0.56
     33.74      2.48      0.22      1.02      0.21      1.30      1.12      0.56
     33.59      2.88      0.22      1.02      0.20      1.34      1.12      0.56
     33.69      2.84      0.22      1.01      0.21      1.32      1.11      0.56
     33.84      2.59      0.22      1.04      0.19      1.32      1.12      0.56
     33.99      2.72      0.22      1.02      0.20      1.28      1.11      0.56
     33.52      2.81      0.21      1.02      0.20      1.29      1.12      0.56
     33.81      2.56      0.22      1.02      0.21      1.27      1.10      0.56
     33.61      2.25      0.22      1.04      0.21      1.31      1.11      0.56
     33.80      2.74      0.22      1.02      0.19      1.28      1.11      0.56
     33.52      2.28      0.22      1.04      0.20      1.32      1.12      0.56
     33.92      2.57      0.22      1.01      0.21      1.30      1.12      0.56
     33.72      2.66      0.22      1.02      0.20      1.31      1.12      0.56
     33.90      2.71      0.21      1.02      0.21      1.30      1.11      0.56
     33.86      2.85      0.22      1.02      0.22      1.28      1.12      0.56
     33.48      2.83      0.22      1.02      0.20      1.32      1.12      0.56
     33.59      2.89      0.22      1.02      0.21      1.29      1.12      0.56
     33.84      2.72      0.21      1.01      0.21      1.29      1.11      0.56
     33.84      2.89      0.22      1.01      0.21      1.26      1.12      0.56
     33.89      2.83      0.22      1.02      0.21      1.30      1.11      0.56
     34.01      2.60      0.22      1.01      0.20      1.29      1.10      0.56
     33.26      2.24      0.22      1.06      0.20      1.30      1.12      0.56
     33.77      2.13      0.22      1.04      0.19      1.32      1.11      0.56
     33.81      2.38      0.22      1.02      0.19      1.32      1.11      0.56
     33.67      2.34      0.22      1.02      0.21      1.30      1.14      0.56
     33.86      2.62      0.22      1.02      0.20      1.32      1.11      0.56
     34.07      2.67      0.22      1.02      0.21      1.30      1.10      0.56
     33.54      2.29      0.22      1.04      0.20      1.30      1.11      0.56
     33.55      2.62      0.22      1.01      0.20      1.28      1.12      0.56
     33.81      2.97      0.21      1.01      0.22      1.29      1.11      0.56
     33.73      2.60      0.22      1.02      0.21      1.29      1.11      0.56
     33.71      2.66      0.22      1.02      0.20      1.29      1.12      0.56
     33.74      2.65      0.22      1.01      0.21      1.31      1.11      0.56
     33.72      2.91      0.22      1.02      0.20      1.26      1.12      0.56
     33.65      2.44      0.22      1.01      0.22      1.29      1.12      0.56
     33.21      2.73      0.21      1.02      0.20      1.30      1.12      0.56
     33.52      2.36      0.22      1.02      0.20      1.28      1.11      0.56
     33.82      2.98      0.22      1.02      0.22      1.31      1.12      0.56
     34.04      2.78      0.22      1.02      0.20      1.29      1.11      0.56
     33.62      2.48      0.22      1.02      0.19      1.30      1.11      0.56
     33.72      2.79      0.22      1.02      0.20      1.28      1.12      0.56
     33.66      2.85      0.21      1.01      0.22      1.28      1.12      0.56
     33.45      2.74      0.22      1.03      0.20      1.30      1.11      0.56
     33.69      2.59      0.22      1.01      0.20      1.33      1.12      0.56
     33.88      2.74      0.22      1.02      0.21      1.33      1.10      0.57
     33.83      2.68      0.22      1.02      0.19      1.30      1.12      0.56
     33.43      2.68      0.22      1.02      0.20      1.29      1.12      0.56
     33.52      2.07      0.22      1.05      0.19      1.31      1.11      0.56
     33.44      2.69      0.22      1.02      0.21      1.29      1.10      0.56
     33.46      3.18      0.22      1.01      0.21      1.28      1.11      0.56
     33.70      2.98      0.22      1.02      0.20      1.28      1.11      0.56
     33.68      2.97      0.22      1.01      0.21      1.31      1.11      0.56
     33.62      2.80      0.22      1.02      0.20      1.34      1.09      0.57
     33.72      2.75      0.22      1.01      0.21      1.29      1.12      0.56
     33.74      2.69      0.22      1.02      0.20      1.29      1.12      0.56
     33.36      2.57      0.22      1.01      0.20      1.28      1.12      0.56
     33.49      2.88      0.22      1.01      0.22      1.32      1.11      0.56
     33.84      2.72      0.22      1.02      0.20      1.30      1.12      0.56
     33.76      2.91      0.22      1.01      0.21      1.23      1.12      0.56
     33.86      2.73      0.22      1.02      0.21      1.31      1.12      0.56
     33.98      2.59      0.22      1.02      0.21      1.29      1.11      0.56
     33.76      2.61      0.22      1.02      0.21      1.31      1.12      0.56
     33.75      2.74      0.22      1.01      0.20      1.28      1.12      0.56
     33.46      2.23      0.22      1.04      0.19      1.35      1.12      0.56
     33.44      3.00      0.21      1.02      0.21      1.28      1.11      0.56
     33.61      2.55      0.22      1.01      0.22      1.30      1.11      0.56
     33.82      2.95      0.22      1.01      0.22      1.31      1.12      0.56
     33.76      2.64      0.22      1.02      0.20      1.30      1.10      0.56
     33.69      2.45      0.22      1.01      0.21      1.30      1.11      0.56
     33.70      2.50      0.22      1.02      0.20      1.28      1.11      0.56
     33.78      2.77      0.22      1.01      0.21      1.27      1.11      0.56
     33.54      2.70      0.22      1.02      0.20      1.32      1.12      0.56
     33.64      2.73      0.22      1.02      0.20      1.33      1.10      0.56
     33.72      2.91      0.21      1.02      0.20      1.31      1.12      0.56
     33.83      2.98      0.21      1.01      0.21      1.29      1.12      0.56
     33.71      2.76      0.21      1.02      0.21      1.32      1.12      0.56
     33.93      2.51      0.21      1.03      0.21      1.32      1.11      0.56
     33.73      2.66      0.22      1.01      0.21      1.28      1.11      0.56
     33.79      2.54      0.22      1.02      0.20      1.30      1.12      0.56
     33.43      2.83      0.22      1.02      0.21      1.26      1.12      0.56
     33.62      2.77      0.22      1.03      0.20      1.32      1.11      0.56
     33.59      2.52      0.22      1.02      0.20      1.30      1.11      0.56

 #-----------Update Pop P_ran-----          13 /          20
     phi        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -------------------------------------------------------
     37.69      4.44      0.27      0.89      0.13      1.67      1.18      0.55
     38.11      7.53      0.38      0.88      0.07      1.55      1.26      0.57
     36.69      3.05      0.27      0.92      0.17      1.95      1.22      0.59
     29.60      2.90      0.34      0.90      0.25      1.45      1.18      0.59
     27.81      5.54      0.37      0.86      0.08      1.29      1.19      0.55
     34.75      4.06      0.39      1.06      0.12      1.84      1.28      0.59
     25.06      5.44      0.25      0.91      0.09      1.32      1.26      0.55
     27.74      2.30      0.25      0.74      0.12      1.77      1.13      0.59
     28.53      8.40      0.38      1.03      0.09      1.42      1.29      0.57
     31.81      1.88      0.25      0.88      0.21      1.35      1.22      0.54
     33.11      6.63      0.24      0.78      0.23      1.63      1.16      0.58
     29.64      1.85      0.28      0.64      0.12      1.64      1.17      0.60
     37.72      8.56      0.23      0.94      0.09      1.82      1.12      0.56
     35.92      1.15      0.39      0.84      0.06      1.83      1.15      0.54
     29.13      8.61      0.25      0.96      0.22      1.10      1.29      0.58
     32.51      3.24      0.29      0.80      0.11      1.31      1.07      0.58
     37.02      4.33      0.30      1.06      0.20      1.55      1.07      0.55
     34.39      4.67      0.22      1.00      0.14      1.65      1.08      0.58
     26.46      1.86      0.33      1.02      0.24      1.77      1.29      0.58
     29.44      5.33      0.22      0.92      0.18      1.68      1.07      0.53
     25.82      1.10      0.40      0.62      0.11      1.35      1.17      0.58
     38.09      3.64      0.30      1.00      0.30      1.01      1.26      0.55
     38.87      2.14      0.35      0.79      0.11      1.53      1.13      0.56
     37.73      8.51      0.26      0.86      0.15      1.49      1.24      0.59
     37.84      2.28      0.34      1.07      0.15      1.60      1.08      0.58
     32.93      5.29      0.39      0.97      0.29      1.96      1.24      0.53
     34.07      3.51      0.39      0.93      0.19      1.44      1.28      0.58
     37.55      8.82      0.25      0.71      0.22      1.20      1.28      0.53
     25.45      3.14      0.28      0.80      0.08      1.61      1.11      0.58
     25.33      5.41      0.32      0.71      0.07      1.58      1.28      0.56
     39.84      6.85      0.34      0.79      0.11      1.58      1.12      0.59
     26.60      6.48      0.36      0.83      0.11      1.08      1.06      0.54

 #-----------Update Pop P_com-----          13 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
 -------------------------------------------------------
     33.90      2.61      0.22      1.02      0.21      1.30      1.13      0.57
     33.82      3.20      0.21      1.01      0.20      1.30      1.11      0.56
     33.76      2.84      0.22      1.01      0.19      1.33      1.12      0.56
     34.21      2.53      0.22      1.03      0.21      1.31      1.12      0.56
     33.86      2.68      0.22      1.02      0.20      1.29      1.11      0.56
     33.06      2.70      0.21      1.01      0.21      1.30      1.10      0.56
     33.82      2.14      0.22      1.02      0.20      1.30      1.10      0.56
     33.88      2.27      0.22      1.01      0.19      1.22      1.12      0.56
     33.61      2.81      0.22      1.02      0.21      1.28      1.13      0.56
     33.84      2.81      0.22      1.02      0.20      1.32      1.11      0.56
     33.58      2.28      0.22      1.02      0.21      1.32      1.12      0.56
     33.78      3.30      0.22      1.02      0.21      1.27      1.10      0.56
     34.09      2.90      0.22      1.01      0.21      1.31      1.12      0.56
     33.77      2.97      0.22      1.02      0.22      1.32      1.11      0.56
     33.73      2.31      0.22      1.00      0.21      1.35      1.11      0.56
     33.60      2.15      0.22      1.02      0.20      1.28      1.10      0.56
     33.87      2.69      0.22      1.01      0.20      1.29      1.11      0.56
     33.62      2.92      0.22      1.02      0.21      1.29      1.11      0.56
