 #--- Initial_population -----------------------------
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
     33.58      1.60      0.25      1.02      0.22      1.27      1.11      0.57
     33.78      1.34      0.25      1.04      0.19      1.25      1.10      0.56
     33.51      1.44      0.24      1.03      0.19      1.34      1.10      0.57
     33.47      1.28      0.25      1.04      0.19      1.25      1.09      0.56
     33.58      1.36      0.25      1.04      0.19      1.23      1.11      0.57
     33.77      1.35      0.25      1.02      0.19      1.19      1.13      0.57
     33.50      1.26      0.24      1.04      0.19      1.28      1.10      0.57
     33.51      1.33      0.24      1.03      0.19      1.27      1.10      0.57
     33.61      1.34      0.24      1.03      0.20      1.31      1.10      0.57
     33.63      1.51      0.25      1.02      0.19      1.24      1.11      0.57
     33.33      1.41      0.25      1.02      0.20      1.30      1.11      0.57
     33.49      1.37      0.24      1.04      0.19      1.21      1.10      0.57
     33.54      1.46      0.24      1.03      0.19      1.22      1.10      0.56
     33.58      1.54      0.25      1.03      0.19      1.27      1.10      0.57
     33.68      1.46      0.24      1.04      0.19      1.36      1.10      0.57
     33.64      1.42      0.24      1.03      0.19      1.22      1.09      0.57
     33.57      1.29      0.24      1.03      0.20      1.29      1.10      0.56
     33.35      1.64      0.24      1.03      0.20      1.30      1.11      0.57
     33.45      1.37      0.25      1.03      0.20      1.21      1.10      0.58
     33.67      1.28      0.24      1.05      0.19      1.22      1.10      0.57
     33.79      1.39      0.25      1.03      0.19      1.27      1.11      0.57
     33.58      1.28      0.25      1.04      0.19      1.25      1.12      0.56
     33.65      1.71      0.25      1.02      0.19      1.22      1.09      0.57
     33.75      1.59      0.23      1.04      0.19      1.25      1.11      0.57
     33.52      1.28      0.25      1.05      0.19      1.22      1.10      0.57
     33.51      1.27      0.25      1.04      0.20      1.24      1.09      0.57
     33.73      1.37      0.25      1.04      0.19      1.28      1.10      0.57
     33.71      1.28      0.24      1.04      0.19      1.24      1.09      0.57
     33.39      1.58      0.25      1.02      0.20      1.26      1.11      0.57
     33.53      1.60      0.25      1.03      0.20      1.20      1.10      0.57
     33.50      1.27      0.25      1.03      0.20      1.25      1.10      0.57
     33.52      1.39      0.24      1.03      0.20      1.32      1.10      0.57
     33.36      1.26      0.24      1.04      0.20      1.22      1.11      0.58
     33.69      1.53      0.24      1.02      0.20      1.25      1.10      0.57
     33.63      1.40      0.24      1.02      0.20      1.21      1.10      0.57
     33.64      1.40      0.25      1.04      0.22      1.25      1.11      0.56
     33.74      1.60      0.24      1.03      0.20      1.22      1.10      0.57
     33.64      1.47      0.24      1.03      0.20      1.25      1.10      0.57
     33.76      1.38      0.24      1.03      0.20      1.23      1.11      0.57
     33.65      1.39      0.24      1.03      0.20      1.29      1.10      0.57
     33.61      1.48      0.25      1.04      0.19      1.24      1.11      0.56
     33.36      1.67      0.24      1.03      0.20      1.34      1.10      0.57
     33.88      1.50      0.24      1.03      0.20      1.26      1.11      0.57
     33.53      1.69      0.25      1.02      0.20      1.28      1.11      0.57
     33.52      1.55      0.24      1.02      0.19      1.22      1.10      0.57
     33.58      1.45      0.25      1.04      0.19      1.22      1.09      0.57
     33.63      1.57      0.24      1.03      0.20      1.28      1.09      0.57
     33.79      1.41      0.24      1.04      0.20      1.22      1.11      0.57
     33.62      1.40      0.24      1.05      0.19      1.19      1.10      0.57
     33.49      1.30      0.25      1.04      0.19      1.23      1.10      0.57
     33.62      1.52      0.25      1.04      0.19      1.21      1.09      0.56
     33.47      1.22      0.24      1.05      0.19      1.27      1.10      0.58
     33.55      1.12      0.25      1.06      0.19      1.20      1.09      0.56
     33.51      1.59      0.25      1.02      0.21      1.24      1.10      0.57
     33.62      1.44      0.24      1.02      0.20      1.37      1.10      0.58
     33.50      1.39      0.24      1.03      0.20      1.21      1.10      0.57
     33.67      1.64      0.24      1.02      0.20      1.26      1.11      0.58
     33.71      1.24      0.25      1.06      0.19      1.21      1.10      0.56
     33.68      1.51      0.24      1.02      0.19      1.21      1.12      0.57
     33.52      1.40      0.24      1.03      0.20      1.22      1.11      0.57
     33.56      1.38      0.24      1.05      0.19      1.21      1.11      0.57
     33.59      1.30      0.25      1.02      0.20      1.25      1.10      0.57
     33.71      1.26      0.24      1.03      0.19      1.27      1.11      0.57
     33.56      1.55      0.25      1.02      0.19      1.21      1.10      0.57
     33.65      1.39      0.25      1.03      0.20      1.26      1.10      0.57
     33.77      1.33      0.25      1.03      0.20      1.22      1.10      0.57
     33.61      1.31      0.24      1.04      0.20      1.21      1.11      0.57
     33.68      1.71      0.24      1.04      0.20      1.23      1.11      0.56
     33.48      1.26      0.24      1.04      0.21      1.21      1.09      0.57
     33.60      1.33      0.25      1.03      0.19      1.24      1.09      0.57
     33.55      1.25      0.25      1.03      0.19      1.32      1.10      0.57
     33.56      1.45      0.24      1.04      0.19      1.20      1.10      0.57
     33.72      1.25      0.25      1.06      0.19      1.21      1.10      0.57
     33.64      1.44      0.25      1.03      0.19      1.25      1.11      0.57
     33.47      1.30      0.25      1.03      0.21      1.23      1.11      0.57
     33.62      1.30      0.25      1.04      0.19      1.24      1.09      0.57
     33.50      1.45      0.24      1.03      0.19      1.22      1.09      0.57
     33.57      1.39      0.24      1.03      0.20      1.24      1.11      0.58
     33.72      1.39      0.25      1.04      0.19      1.27      1.10      0.57
     33.78      1.63      0.24      1.04      0.19      1.27      1.10      0.56
     33.67      1.42      0.25      1.04      0.19      1.22      1.11      0.56
     33.77      1.57      0.24      1.03      0.19      1.25      1.11      0.57
     33.80      1.43      0.24      1.03      0.19      1.31      1.13      0.57
     33.73      1.43      0.25      1.03      0.19      1.23      1.10      0.57
     33.69      1.20      0.24      1.05      0.19      1.23      1.10      0.56
     33.73      1.31      0.25      1.03      0.20      1.21      1.09      0.57
     33.65      1.63      0.25      1.02      0.20      1.26      1.11      0.56
     33.62      1.37      0.24      1.04      0.19      1.22      1.11      0.58
     33.78      1.34      0.25      1.03      0.19      1.25      1.10      0.56
     33.64      1.47      0.25      1.02      0.19      1.20      1.11      0.57
     33.66      1.44      0.24      1.03      0.20      1.25      1.11      0.56
     33.58      1.41      0.23      1.03      0.19      1.26      1.10      0.57
     33.70      1.37      0.24      1.04      0.19      1.26      1.11      0.57
     33.76      1.26      0.25      1.04      0.19      1.24      1.11      0.57
     33.64      1.41      0.25      1.05      0.19      1.22      1.10      0.57
     33.49      1.39      0.25      1.03      0.19      1.30      1.10      0.57
     33.76      1.62      0.24      1.04      0.20      1.21      1.10      0.56
     33.71      1.37      0.25      1.04      0.19      1.25      1.11      0.57
     33.55      1.35      0.25      1.03      0.19      1.28      1.09      0.57
     33.50      1.27      0.24      1.03      0.19      1.21      1.10      0.57
     33.70      1.46      0.24      1.02      0.20      1.21      1.11      0.57
     33.73      1.42      0.24      1.03      0.20      1.28      1.11      0.57
     33.59      1.31      0.25      1.03      0.19      1.23      1.09      0.56
     33.51      1.20      0.25      1.05      0.19      1.21      1.10      0.56
     33.77      1.39      0.25      1.03      0.19      1.22      1.10      0.57
     33.55      1.52      0.24      1.03      0.21      1.28      1.11      0.57
     33.62      1.36      0.24      1.04      0.19      1.21      1.10      0.57
     33.71      1.47      0.24      1.03      0.20      1.30      1.10      0.56
     33.61      1.56      0.25      1.02      0.20      1.24      1.10      0.56
     33.77      1.35      0.24      1.03      0.22      1.26      1.10      0.56
     33.67      1.28      0.25      1.03      0.19      1.21      1.10      0.57
     33.57      1.67      0.24      1.02      0.20      1.21      1.10      0.57
     33.53      1.49      0.25      1.03      0.20      1.29      1.11      0.57
     33.61      1.09      0.25      1.03      0.19      1.19      1.09      0.57
     33.65      1.55      0.24      1.02      0.19      1.29      1.11      0.57
     33.61      1.41      0.24      1.04      0.19      1.23      1.11      0.57
     33.30      1.44      0.25      1.03      0.19      1.20      1.09      0.57
     33.74      1.44      0.24      1.03      0.19      1.30      1.11      0.56
     33.64      1.65      0.24      1.04      0.19      1.21      1.11      0.57
     33.59      1.51      0.24      1.03      0.19      1.19      1.10      0.57
     33.72      1.26      0.24      1.03      0.20      1.30      1.10      0.57
     33.49      1.55      0.24      1.03      0.19      1.31      1.11      0.57
     33.73      1.41      0.24      1.03      0.19      1.28      1.10      0.56
     33.64      1.52      0.24      1.03      0.20      1.22      1.11      0.57
     33.44      1.51      0.25      1.03      0.19      1.21      1.10      0.57
     33.58      1.35      0.25      1.03      0.20      1.26      1.11      0.56
     33.64      1.37      0.25      1.04      0.19      1.22      1.11      0.56
     33.55      1.53      0.25      1.04      0.19      1.23      1.10      0.57
     33.60      1.67      0.24      1.02      0.21      1.26      1.12      0.57
     33.61      1.43      0.24      1.02      0.22      1.28      1.11      0.56
     33.43      1.16      0.25      1.02      0.20      1.24      1.11      0.57
     33.50      1.35      0.24      1.04      0.19      1.21      1.10      0.56
     33.87      1.44      0.24      1.03      0.19      1.23      1.11      0.57
     33.57      1.38      0.25      1.04      0.19      1.25      1.11      0.56
     33.68      1.30      0.24      1.04      0.19      1.28      1.10      0.57
     33.68      1.53      0.24      1.03      0.19      1.23      1.11      0.57
     33.51      1.52      0.24      1.03      0.19      1.25      1.11      0.57
     33.41      1.58      0.24      1.02      0.20      1.28      1.10      0.57
     33.68      1.41      0.25      1.03      0.20      1.25      1.10      0.56
     33.56      1.55      0.24      1.02      0.19      1.29      1.11      0.57
     33.51      1.48      0.25      1.02      0.20      1.29      1.10      0.56
     33.57      1.29      0.25      1.05      0.19      1.23      1.10      0.57
     33.76      1.23      0.24      1.03      0.20      1.24      1.11      0.58
     33.53      1.31      0.25      1.04      0.19      1.25      1.10      0.57
     33.68      1.34      0.24      1.04      0.19      1.22      1.10      0.56
     33.72      1.65      0.24      1.03      0.20      1.24      1.11      0.57
     33.87      1.58      0.24      1.03      0.19      1.24      1.10      0.56
     33.60      1.30      0.25      1.03      0.19      1.22      1.10      0.56
     33.56      1.35      0.24      1.04      0.19      1.24      1.11      0.57
     33.55      1.63      0.24      1.04      0.19      1.26      1.10      0.58
     33.52      1.42      0.25      1.03      0.19      1.22      1.10      0.57
     33.44      1.52      0.25      1.02      0.20      1.29      1.11      0.57
     33.74      1.56      0.24      1.03      0.20      1.20      1.11      0.56
     33.64      1.50      0.25      1.02      0.20      1.26      1.10      0.57
     33.67      1.40      0.24      1.04      0.19      1.28      1.10      0.57
     33.62      1.22      0.25      1.06      0.19      1.18      1.10      0.57
     33.56      1.35      0.25      1.03      0.20      1.21      1.10      0.56
     33.63      1.37      0.24      1.03      0.21      1.30      1.11      0.57
     33.71      1.65      0.24      1.03      0.20      1.36      1.10      0.57
     33.64      1.34      0.25      1.04      0.20      1.21      1.10      0.57
     33.68      1.62      0.24      1.02      0.20      1.27      1.10      0.57
     33.40      1.58      0.24      1.03      0.18      1.22      1.10      0.58
     33.56      1.49      0.25      1.03      0.19      1.20      1.10      0.57
     33.66      1.16      0.25      1.06      0.19      1.20      1.09      0.57
     33.64      1.40      0.24      1.03      0.19      1.35      1.10      0.57
     33.52      1.53      0.24      1.03      0.19      1.33      1.10      0.57
     33.59      1.38      0.25      1.04      0.19      1.24      1.09      0.57
     33.65      1.40      0.25      1.02      0.20      1.26      1.11      0.56
     33.44      1.31      0.24      1.04      0.19      1.20      1.11      0.57
     33.49      1.31      0.24      1.04      0.21      1.32      1.11      0.57
     33.71      1.44      0.25      1.03      0.20      1.27      1.10      0.56
     33.51      1.43      0.25      1.02      0.20      1.27      1.10      0.57
     33.47      1.54      0.24      1.02      0.19      1.25      1.10      0.56
     33.56      1.34      0.25      1.04      0.19      1.22      1.09      0.56
     33.61      1.42      0.24      1.03      0.19      1.23      1.11      0.57
     33.71      1.47      0.24      1.02      0.20      1.21      1.10      0.57
     33.52      1.47      0.25      1.04      0.20      1.20      1.11      0.57
     33.57      1.22      0.24      1.04      0.20      1.30      1.10      0.57
     33.49      1.25      0.25      1.03      0.20      1.23      1.10      0.57
     33.63      1.48      0.24      1.02      0.21      1.29      1.11      0.57
     33.56      1.43      0.24      1.03      0.20      1.26      1.10      0.57
     33.77      1.39      0.25      1.04      0.20      1.20      1.09      0.56
     33.62      1.53      0.24      1.03      0.19      1.32      1.10      0.56
     33.55      1.27      0.25      1.04      0.19      1.21      1.09      0.57
     33.60      1.39      0.24      1.04      0.19      1.24      1.10      0.56
     33.63      1.35      0.25      1.04      0.19      1.24      1.10      0.57
     33.53      1.35      0.25      1.04      0.19      1.24      1.09      0.57
     33.65      1.38      0.24      1.04      0.19      1.25      1.10      0.56
     33.39      1.49      0.25      1.02      0.20      1.24      1.11      0.57
     33.60      1.19      0.25      1.03      0.19      1.21      1.09      0.57
     33.51      1.38      0.25      1.04      0.19      1.24      1.09      0.57
     33.65      1.40      0.25      1.04      0.19      1.24      1.11      0.56
     33.47      1.39      0.25      1.03      0.20      1.22      1.10      0.57
     33.37      1.44      0.25      1.03      0.19      1.25      1.11      0.57
     33.65      1.66      0.24      1.02      0.20      1.20      1.12      0.56
     33.75      1.38      0.24      1.03      0.20      1.27      1.11      0.57
     33.45      1.32      0.24      1.04      0.21      1.25      1.09      0.57
     33.55      1.37      0.25      1.04      0.20      1.29      1.10      0.57
     33.63      1.49      0.24      1.03      0.21      1.33      1.11      0.57
     33.65      1.58      0.24      1.03      0.19      1.21      1.10      0.56
     33.54      1.45      0.24      1.04      0.20      1.22      1.11      0.57
     33.65      1.16      0.25      1.02      0.20      1.27      1.10      0.56
     33.51      1.25      0.25      1.05      0.19      1.22      1.09      0.56
     33.56      1.39      0.25      1.02      0.19      1.21      1.10      0.57
     33.71      1.40      0.25      1.03      0.19      1.27      1.10      0.57
     33.76      1.41      0.24      1.03      0.19      1.21      1.10      0.56
     33.57      1.54      0.25      1.02      0.20      1.31      1.11      0.57
     33.62      1.43      0.25      1.02      0.20      1.26      1.10      0.56
     33.58      1.62      0.24      1.05      0.19      1.29      1.10      0.57
     33.75      1.53      0.24      1.03      0.20      1.29      1.10      0.58
     33.80      1.39      0.24      1.05      0.20      1.28      1.11      0.56
     33.56      1.40      0.25      1.03      0.19      1.18      1.10      0.56
     33.76      1.45      0.24      1.02      0.21      1.27      1.11      0.57
     33.51      1.24      0.24      1.04      0.19      1.23      1.10      0.57
     33.74      1.33      0.25      1.04      0.19      1.23      1.11      0.57
     33.55      1.30      0.24      1.04      0.19      1.21      1.09      0.57
     33.62      1.48      0.24      1.02      0.21      1.34      1.11      0.57
     33.60      1.53      0.24      1.03      0.19      1.22      1.10      0.57
     33.58      1.28      0.25      1.03      0.20      1.19      1.09      0.57
     33.63      1.23      0.24      1.03      0.20      1.26      1.10      0.58
     33.51      1.27      0.25      1.04      0.20      1.22      1.10      0.57
     33.54      1.58      0.24      1.03      0.19      1.29      1.09      0.58
     33.60      1.58      0.25      1.03      0.20      1.25      1.10      0.56
     33.58      1.57      0.25      1.03      0.19      1.22      1.11      0.57
     33.49      1.49      0.24      1.03      0.19      1.29      1.10      0.57
     33.47      1.39      0.24      1.03      0.21      1.27      1.10      0.57
     33.50      1.25      0.24      1.04      0.19      1.28      1.10      0.57
     33.60      1.46      0.24      1.02      0.20      1.28      1.11      0.57
     33.65      1.33      0.24      1.02      0.20      1.34      1.10      0.57
     33.62      1.30      0.24      1.03      0.20      1.21      1.11      0.58
     33.76      1.55      0.25      1.03      0.19      1.25      1.09      0.57
     33.61      1.31      0.25      1.04      0.21      1.24      1.10      0.56
     33.80      1.47      0.24      1.03      0.20      1.22      1.10      0.56
     33.54      1.29      0.25      1.03      0.20      1.25      1.11      0.57
     33.62      1.23      0.24      1.04      0.19      1.25      1.10      0.56
     33.54      1.54      0.24      1.02      0.20      1.29      1.10      0.57
     33.64      1.62      0.24      1.02      0.20      1.26      1.10      0.57
     33.47      1.28      0.24      1.04      0.19      1.21      1.10      0.57

 #-----------Update Pop P_ran-----          12 /          20
     phi        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -------------------------------------------------------
     38.62      7.70      0.37      0.73      0.19      1.50      1.09      0.60
     35.59      1.67      0.21      1.08      0.13      1.79      1.16      0.59
     38.37      5.37      0.35      0.66      0.20      1.04      1.23      0.54
     28.38      5.08      0.23      0.80      0.12      1.97      1.20      0.54
     26.25      6.53      0.38      0.97      0.25      1.20      1.20      0.55
     39.70      1.91      0.37      1.09      0.12      1.56      1.12      0.57
     39.70      7.01      0.29      1.02      0.06      1.65      1.17      0.53
     27.20      8.35      0.20      0.70      0.30      1.24      1.05      0.57
     31.29      8.14      0.35      1.02      0.19      1.37      1.15      0.55
     37.39      1.97      0.40      1.06      0.21      1.48      1.20      0.55
     32.78      6.78      0.38      0.94      0.18      1.36      1.24      0.59
     28.55      3.19      0.30      0.84      0.21      1.14      1.28      0.58
     39.35      3.11      0.29      0.83      0.07      1.12      1.14      0.57
     35.27      8.01      0.35      0.69      0.07      1.22      1.23      0.58
     38.70      8.83      0.40      0.91      0.24      1.32      1.21      0.56
     26.72      3.60      0.31      0.82      0.26      1.80      1.07      0.53
     27.58      5.45      0.21      0.65      0.16      1.24      1.18      0.58
     33.10      7.03      0.23      0.74      0.05      1.36      1.17      0.57
     30.70      3.97      0.23      0.90      0.08      1.30      1.22      0.56
     37.49      1.85      0.35      0.89      0.22      1.67      1.24      0.60
     32.49      2.45      0.27      1.02      0.28      1.71      1.13      0.54
     27.07      5.89      0.25      1.09      0.28      1.08      1.27      0.55
     39.32      1.33      0.29      0.73      0.30      1.95      1.28      0.57
     30.33      5.59      0.21      1.00      0.17      1.91      1.28      0.56
     30.89      2.54      0.21      0.87      0.08      1.37      1.20      0.57
     25.26      6.87      0.36      0.71      0.15      1.16      1.05      0.53
     37.38      3.83      0.25      0.85      0.21      1.70      1.25      0.60
     30.35      6.66      0.33      0.65      0.26      1.50      1.24      0.58
     35.44      2.32      0.32      0.99      0.10      1.02      1.10      0.55
     32.15      2.15      0.34      0.62      0.14      1.45      1.18      0.55
     35.63      4.53      0.21      1.05      0.11      1.99      1.28      0.54
     37.72      4.45      0.31      0.67      0.22      1.81      1.08      0.53
     35.26      4.56      0.27      0.99      0.18      1.13      1.09      0.54
     35.42      4.46      0.32      0.78      0.26      1.91      1.08      0.55
     39.22      7.67      0.27      0.85      0.08      1.78      1.26      0.60
     34.35      6.65      0.32      0.79      0.15      1.17      1.19      0.57
     30.06      7.12      0.22      0.91      0.17      1.60      1.25      0.59
     26.76      3.78      0.28      0.79      0.27      1.46      1.12      0.58
     28.70      7.22      0.26      1.07      0.19      1.70      1.16      0.56
     26.54      5.05      0.34      0.99      0.26      1.95      1.28      0.54

 #-----------Update Pop P_com-----          12 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
 -------------------------------------------------------
     33.79      1.77      0.24      1.03      0.19      1.32      1.11      0.56
     33.77      1.47      0.24      1.04      0.19      1.21      1.11      0.56
     33.86      1.36      0.25      1.02      0.19      1.28      1.09      0.57
     33.63      1.35      0.25      1.04      0.19      1.21      1.12      0.57
     33.72      1.59      0.24      1.02      0.19      1.24      1.10      0.56
     33.62      1.35      0.25      1.01      0.20      1.22      1.10      0.56
     33.94      1.74      0.24      1.03      0.19      1.29      1.10      0.57
     33.60      1.56      0.25      1.02      0.19      1.21      1.10      0.56
     33.62      1.71      0.24      1.03      0.19      1.23      1.10      0.56
     33.69      1.38      0.24      1.03      0.20      1.20      1.11      0.57
     33.69      1.52      0.25      1.04      0.21      1.23      1.11      0.57
     33.60      1.66      0.24      1.02      0.20      1.21      1.11      0.58
     33.68      1.29      0.24      1.04      0.19      1.33      1.11      0.58
     33.67      1.57      0.25      1.02      0.19      1.25      1.11      0.56
     34.04      1.55      0.24      1.03      0.21      1.20      1.09      0.56
     33.60      1.52      0.25      1.03      0.19      1.35      1.10      0.56
     33.90      1.36      0.25      0.92      0.20      1.31      1.09      0.56
     33.89      1.47      0.25      1.02      0.20      1.18      1.09      0.57
     33.72      1.81      0.24      1.02      0.19      1.29      1.11      0.58
     33.78      1.50      0.24      1.03      0.19      1.24      1.10      0.57
     33.61      1.40      0.24      1.02      0.21      1.28      1.11      0.58
     33.79      1.80      0.25      1.02      0.19      1.24      1.10      0.56
     33.63      1.52      0.25      1.03      0.19      1.26      1.11      0.57
     33.25      1.57      0.24      1.02      0.20      1.20      1.10      0.56
     33.51      1.63      0.25      1.03      0.20      1.22      1.10      0.57
     33.50      1.57      0.24      1.04      0.20      1.38      1.11      0.56
     33.56      1.51      0.25      1.05      0.20      1.29      1.11      0.57
     33.62      1.57      0.24      1.02      0.20      1.21      1.10      0.57
     33.60      1.72      0.24      1.03      0.20      1.52      1.11      0.57
     33.55      1.47      0.24      1.06      0.19      1.23      1.10      0.57
     33.74      1.21      0.25      1.02      0.19      1.25      1.18      0.56
     33.52      1.52      0.25      1.03      0.20      1.25      1.11      0.57
     33.59      1.40      0.25      1.02      0.20      1.26      1.12      0.57
     33.61      1.53      0.24      1.04      0.19      1.27      1.10      0.57
     33.80      1.35      0.25      1.03      0.21      1.25      1.10      0.56
     33.60      1.36      0.24      1.04      0.20      1.28      1.10      0.56
     33.71      1.30      0.25      1.03      0.19      1.28      1.10      0.57
     33.57      1.25      0.24      1.02      0.19      1.26      1.09      0.56
     33.49      1.18      0.25      1.03      0.19      1.22      1.10      0.57
     33.83      1.39      0.25      1.02      0.18      1.20      1.10      0.57
     33.74      1.77      0.24      1.04      0.20      1.21      1.11      0.57
     33.78      1.29      0.24      1.03      0.20      1.31      1.10      0.56
     33.79      1.26      0.24      1.02      0.19      1.27      1.10      0.56
     33.77      1.37      0.24      1.03      0.19      1.26      1.10      0.55
     33.49      1.55      0.24      1.04      0.20      1.20      1.09      0.57
     33.78      1.55      0.25      1.02      0.19      1.30      1.10      0.57
     33.59      1.41      0.24      1.02      0.20      1.25      1.11      0.57
     33.85      1.40      0.25      1.04      0.18      1.25      1.11      0.57
     33.75      1.41      0.24      1.02      0.19      1.35      1.09      0.57
     33.59      1.17      0.25      1.02      0.19      1.20      1.10      0.56
     33.62      1.64      0.25      1.01      0.19      1.21      1.10      0.57
     33.86      1.51      0.24      1.01      0.19      1.25      1.10      0.57
     33.65      1.07      0.25      1.05      0.19      1.27      1.10      0.57
     33.64      1.64      0.25      1.02      0.20      1.29      1.11      0.56
     33.80      1.39      0.24      1.03      0.20      1.35      1.12      0.57
     33.46      1.25      0.24      1.01      0.22      1.27      1.11      0.55
     33.48      1.36      0.25      1.02      0.19      1.20      1.11      0.56
     33.51      1.46      0.24      1.02      0.20      1.26      1.11      0.57

 #---------Update Pop P_eli-----          13 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -----------------------------------------------------
     33.36      1.26      0.24      1.04      0.20      1.22      1.11      0.58
     33.25      1.30      0.25      1.04      0.20      1.20      1.11      0.57
     33.52      1.10      0.24      1.06      0.19      1.18      1.10      0.58
     33.44      1.33      0.25      1.04      0.19      1.18      1.09      0.57
     33.48      1.26      0.24      1.04      0.21      1.21      1.09      0.57


 #---------Update Pop P_mat-----          13 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -----------------------------------------------------
     33.56      1.38      0.24      1.04      0.20      1.23      1.10      0.56
     33.48      1.26      0.24      1.04      0.19      1.23      1.10      0.57
     33.64      1.37      0.24      1.03      0.20      1.23      1.10      0.57
     33.51      1.42      0.25      1.04      0.19      1.23      1.10      0.56
     33.61      1.23      0.24      1.03      0.19      1.19      1.10      0.58
     33.50      1.44      0.24      1.04      0.19      1.20      1.10      0.57
     33.47      1.35      0.25      1.03      0.20      1.26      1.09      0.57
     33.58      1.34      0.24      1.03      0.20      1.25      1.11      0.58
     33.44      1.41      0.24      1.03      0.20      1.27      1.11      0.58
     33.53      1.31      0.24      1.03      0.19      1.27      1.10      0.57
     33.59      1.32      0.24      1.03      0.19      1.22      1.10      0.58
     33.60      1.37      0.25      1.04      0.19      1.21      1.09      0.57
     33.65      1.32      0.24      1.04      0.19      1.21      1.10      0.57
     33.51      1.30      0.24      1.04      0.20      1.21      1.11      0.58
     33.52      1.28      0.25      1.04      0.20      1.22      1.10      0.57
     33.73      1.43      0.24      1.04      0.19      1.22      1.11      0.57
     33.56      1.48      0.24      1.04      0.19      1.23      1.10      0.57
     33.61      1.40      0.25      1.04      0.19      1.21      1.10      0.57
     33.48      1.12      0.24      1.05      0.20      1.21      1.09      0.56
     33.38      1.28      0.25      1.06      0.19      1.20      1.10      0.57
     33.43      1.39      0.24      1.02      0.19      1.26      1.10      0.58
     33.46      1.38      0.25      1.03      0.21      1.23      1.10      0.58
     33.53      1.28      0.25      1.04      0.19      1.24      1.10      0.57
     33.35      1.31      0.25      1.04      0.20      1.21      1.10      0.57
     33.64      1.43      0.24      1.04      0.19      1.23      1.10      0.57
     33.55      1.27      0.25      1.03      0.19      1.22      1.09      0.57
     33.48      1.31      0.24      1.04      0.22      1.27      1.10      0.57
     33.59      1.14      0.25      1.05      0.19      1.20      1.09      0.56
     33.50      1.38      0.24      1.04      0.19      1.21      1.10      0.57
     33.61      1.59      0.24      1.03      0.20      1.21      1.11      0.58
     33.49      1.34      0.24      1.04      0.19      1.24      1.10      0.57
     33.63      1.57      0.24      1.03      0.20      1.28      1.09      0.57
     33.65      1.36      0.24      1.04      0.19      1.21      1.10      0.57
     33.63      1.23      0.25      1.03      0.20      1.22      1.10      0.56
     33.55      1.34      0.25      1.04      0.19      1.22      1.09      0.57
     33.53      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.60      1.37      0.24      1.04      0.20      1.25      1.09      0.56
     33.59      1.44      0.24      1.04      0.20      1.27      1.10      0.56
     33.57      1.34      0.24      1.03      0.20      1.24      1.11      0.58
     33.47      1.55      0.24      1.03      0.19      1.22      1.10      0.57
     33.65      1.35      0.25      1.04      0.19      1.22      1.10      0.57
     33.53      1.29      0.25      1.04      0.19      1.22      1.10      0.57
     33.60      1.37      0.25      1.04      0.19      1.23      1.10      0.57
     33.55      1.28      0.24      1.05      0.19      1.20      1.10      0.57
     33.48      1.42      0.24      1.03      0.19      1.21      1.10      0.57
     33.60      1.41      0.25      1.05      0.19      1.22      1.10      0.57
     33.55      1.45      0.25      1.03      0.19      1.20      1.10      0.57
     33.40      1.39      0.24      1.03      0.21      1.28      1.11      0.58
     33.48      1.27      0.25      1.05      0.20      1.22      1.10      0.58
     33.51      1.11      0.25      1.03      0.20      1.19      1.10      0.57
     33.60      1.31      0.24      1.03      0.21      1.24      1.10      0.57
     33.40      1.29      0.25      1.04      0.20      1.21      1.11      0.58
     33.55      1.46      0.25      1.03      0.20      1.21      1.10      0.57
     33.66      1.45      0.24      1.04      0.20      1.24      1.10      0.58
     33.62      1.28      0.24      1.04      0.19      1.26      1.10      0.57
     33.60      1.34      0.24      1.03      0.20      1.27      1.10      0.57
     33.57      1.15      0.24      1.05      0.20      1.21      1.10      0.57
     33.51      1.41      0.24      1.04      0.19      1.25      1.10      0.56
     33.66      1.38      0.24      1.04      0.19      1.23      1.10      0.57
     33.58      1.29      0.25      1.04      0.19      1.22      1.10      0.57
     33.54      1.50      0.24      1.03      0.19      1.24      1.11      0.57
     33.63      1.38      0.25      1.04      0.19      1.22      1.10      0.57
     33.65      1.35      0.24      1.03      0.19      1.21      1.10      0.57
     33.66      1.35      0.25      1.05      0.19      1.21      1.09      0.57
     33.56      1.31      0.25      1.05      0.19      1.22      1.10      0.57
     33.55      1.54      0.24      1.04      0.20      1.23      1.10      0.57
     33.53      1.48      0.25      1.03      0.20      1.26      1.10      0.57
     33.55      1.16      0.24      1.05      0.20      1.23      1.11      0.57
     33.65      1.40      0.24      1.04      0.19      1.22      1.10      0.57
     33.52      1.34      0.24      1.04      0.19      1.25      1.10      0.58
     33.58      1.37      0.24      1.04      0.19      1.24      1.09      0.57
     33.50      1.32      0.25      1.04      0.20      1.21      1.10      0.57
     33.58      1.25      0.25      1.04      0.21      1.22      1.11      0.57
